model,lang,n_files,syntax_ok_pct,ruff_per_100loc_all,ruff_per_100loc_valid,mi_all,mi_valid,loc_mean,n_covered,induction_all,induction_valid
codellama-7b,en,426,80.75,8.91,9.55,87.52,87.52,51.06,362,58.56,63.91
codellama-7b,es,75,90.67,4.94,6.58,83.51,83.51,57.49,63,57.14,60.34
codellama-7b,fr,75,90.67,4.26,4.93,81.77,81.77,63.6,63,53.97,55.36
codellama-7b,zh,75,86.67,10.92,14.17,84.6,84.6,52.99,63,42.86,48.21
deepseek-coder-1.3b,en,426,98.59,4.57,4.33,88.2,88.2,37.54,362,44.75,45.1
deepseek-coder-1.3b,es,75,61.33,101.5,3.47,89.72,89.72,19.61,63,31.75,47.62
deepseek-coder-1.3b,fr,75,89.33,23.39,4.42,89.26,89.26,32.27,63,34.92,39.29
deepseek-coder-1.3b,zh,75,60.0,84.59,10.76,93.8,93.8,17.48,63,11.11,18.42
deepseek-coder-6.7b,en,426,96.95,10.17,3.95,86.11,86.11,37.2,362,50.55,52.29
deepseek-coder-6.7b,es,75,93.33,7.1,3.09,87.95,87.95,34.93,63,42.86,44.07
deepseek-coder-6.7b,fr,75,94.67,36.85,3.95,85.95,85.95,40.6,63,49.21,52.54
deepseek-coder-6.7b,zh,75,62.67,428.38,6.47,93.45,93.45,14.61,63,19.05,28.95
granite-3b-code,en,426,95.31,16.43,5.58,83.87,83.87,31.98,362,50.55,52.01
granite-3b-code,es,75,48.0,36.74,6.75,78.32,78.32,39.31,63,28.57,53.57
granite-3b-code,fr,74,90.54,8.11,5.73,81.07,81.07,37.16,62,46.77,50.0
granite-3b-code,zh,75,90.67,71.49,4.41,83.26,83.26,41.07,63,36.51,38.6
granite-8b-code,en,426,90.61,11.39,8.63,86.77,86.77,29.02,362,54.14,57.67
granite-8b-code,es,75,22.67,160.39,3.27,84.8,84.8,39.65,63,31.75,60.0
granite-8b-code,fr,75,85.33,17.5,4.96,81.75,81.75,40.53,63,47.62,48.15
granite-8b-code,zh,75,96.0,5.72,5.73,85.33,85.33,35.89,63,49.21,50.82
qwen2.5-coder-1.5b,en,426,98.36,6.35,6.66,86.32,86.32,37.73,362,61.6,62.08
qwen2.5-coder-1.5b,es,75,97.33,2.63,2.86,85.86,85.86,44.16,63,57.14,58.06
qwen2.5-coder-1.5b,fr,75,93.33,3.81,3.77,83.51,83.51,49.99,63,57.14,56.9
qwen2.5-coder-1.5b,zh,75,98.67,6.58,5.44,87.41,87.41,38.49,63,50.79,51.61
qwen2.5-coder-3b,en,426,96.71,4.32,4.31,84.08,84.08,52.69,362,63.26,64.96
qwen2.5-coder-3b,es,75,94.67,4.8,4.09,81.21,81.21,52.19,63,60.32,62.3
qwen2.5-coder-3b,fr,75,94.67,3.53,2.46,81.5,81.5,55.85,63,58.73,61.67
qwen2.5-coder-3b,zh,75,100.0,3.17,3.17,83.64,83.64,40.4,63,46.03,46.03
qwen2.5-coder-7b,en,426,98.83,4.2,4.18,82.7,82.7,37.98,362,60.22,60.56
qwen2.5-coder-7b,es,75,96.0,6.29,3.22,81.88,81.88,36.48,63,61.9,63.93
qwen2.5-coder-7b,fr,75,100.0,3.5,3.5,81.04,81.04,43.76,63,60.32,60.32
qwen2.5-coder-7b,zh,75,100.0,4.94,4.94,84.19,84.19,34.81,63,46.03,46.03
starcoder2-3b,en,426,93.66,9.59,9.72,87.33,87.33,46.62,362,48.62,50.0
starcoder2-3b,es,75,94.67,8.67,9.35,87.12,87.12,49.69,63,41.27,41.67
starcoder2-3b,fr,75,89.33,80.56,14.96,91.58,91.58,45.07,63,39.68,41.82
starcoder2-3b,zh,75,94.67,19.09,10.84,87.97,87.97,46.87,63,34.92,36.67
starcoder2-7b,en,426,97.42,14.72,5.27,83.18,83.18,49.21,362,49.72,49.86
starcoder2-7b,es,75,96.0,4.65,5.58,82.52,82.52,50.75,63,46.03,48.33
starcoder2-7b,fr,75,97.33,16.98,4.71,83.23,83.23,54.19,63,52.38,54.1
starcoder2-7b,zh,75,98.67,4.88,5.01,84.17,84.17,40.17,63,38.1,38.71
yi-coder-1.5b,en,100,97.0,5.18,5.05,84.44,84.44,41.12,100,63.0,63.92
yi-coder-1.5b,es,75,96.0,4.44,4.06,86.79,86.79,35.41,63,50.79,53.33
yi-coder-1.5b,fr,75,97.33,3.96,4.09,87.73,87.73,37.75,63,46.03,47.54
yi-coder-1.5b,zh,75,96.0,2.97,3.15,88.5,88.5,43.04,63,47.62,48.33
yi-coder-9b,en,426,99.3,4.21,4.2,87.9,87.9,37.35,362,54.7,55.15
yi-coder-9b,es,75,98.67,4.36,4.15,83.17,83.17,39.43,63,53.97,54.84
yi-coder-9b,fr,75,100.0,2.86,2.86,84.7,84.7,43.83,63,53.97,53.97
yi-coder-9b,zh,75,100.0,4.24,4.24,85.43,85.43,36.44,63,52.38,52.38
