target_smell,n_files,syntax_ok_pct,ruff_per_100loc_all,ruff_per_100loc_valid,mi_all,mi_valid,loc_mean,n_covered,induction_all,induction_valid,base_rate,lift,induction_en,induction_es,induction_fr,induction_zh
Comments (as smell indicator),262,90.46,18.63,3.86,82.86,82.86,47.5,262,29.01,32.07,7.83,24.24,34.93,22.22,42.42,16.13
Data Class,284,96.48,3.47,1.12,98.75,98.75,57.03,284,61.97,64.23,16.44,47.79,56.0,83.33,82.35,71.43
Data Clumps,324,92.9,38.97,3.23,86.38,86.38,35.86,324,26.54,28.57,5.49,23.08,34.45,20.0,20.59,3.57
Dead Code,284,83.1,15.63,5.47,81.29,81.29,49.87,284,19.01,22.88,12.96,9.92,25.33,22.22,17.86,16.13
Deep Nesting,306,90.2,22.72,13.86,80.33,80.33,29.66,306,46.41,47.46,3.58,43.88,53.76,41.38,30.0,32.26
Duplicated Code,332,92.77,9.28,6.18,79.1,79.1,45.79,332,94.58,97.4,56.6,40.8,98.1,100.0,100.0,87.88
Feature Envy,324,96.91,15.87,5.92,86.61,86.61,27.09,324,38.58,39.81,3.51,36.3,48.37,25.81,32.35,5.88
Global State,284,90.49,18.32,11.48,87.07,87.07,56.26,284,66.9,73.93,22.21,51.72,80.37,72.41,64.71,51.61
God Class / Large Class,348,94.54,7.11,4.72,72.97,72.97,61.22,348,31.61,33.43,4.5,28.93,38.03,25.0,25.81,15.62
Inappropriate Intimacy,306,92.48,5.35,0.69,81.48,81.48,41.93,306,7.84,8.48,0.01,8.47,11.35,0.0,5.71,3.03
Lazy Class,284,98.24,4.66,1.66,78.25,78.25,24.95,284,55.99,56.99,18.68,38.31,54.86,63.64,58.33,60.0
Long Method,348,91.95,11.02,8.09,83.05,83.05,53.17,348,63.51,65.31,22.24,43.07,65.47,68.97,68.57,57.58
Long Parameter List,348,92.53,27.86,9.25,96.05,96.05,31.2,348,99.14,99.69,28.9,70.79,100.0,100.0,100.0,97.22
Magic Numbers/Strings,306,93.79,16.98,15.74,78.46,78.46,25.67,306,93.46,94.08,25.62,68.46,96.81,90.62,94.12,81.82
Message Chains,284,95.77,10.43,5.73,92.96,92.96,17.26,284,47.18,49.26,2.98,46.28,48.26,66.67,52.78,32.26
Middle Man,284,95.42,3.82,0.95,99.27,99.27,38.17,284,78.52,82.29,2.77,79.52,83.33,80.65,79.41,81.25
Parallel Inheritance Hierarchies,284,97.54,3.0,1.34,93.97,93.97,60.04,284,41.9,42.96,0.09,42.87,48.28,40.62,30.56,31.43
Refused Bequest,284,95.07,29.24,3.08,88.96,88.96,24.96,284,35.21,37.04,1.68,35.36,43.27,21.88,27.78,29.03
Speculative Generality,284,88.38,8.91,6.44,81.07,81.07,55.68,284,11.62,13.15,6.96,6.19,8.39,28.57,20.59,14.71
Switch Statements,306,92.48,11.12,9.05,59.42,59.42,52.24,306,56.21,60.78,2.34,58.44,57.89,77.78,69.7,54.55
Temporary Field,283,93.64,12.79,3.73,94.27,94.27,26.17,283,15.9,16.98,3.25,13.73,22.54,7.14,6.06,6.45
