category,n_files,syntax_ok_pct,ruff_per_100loc_all,ruff_per_100loc_valid,mi_all,mi_valid,loc_mean,n_covered,induction_all,induction_valid
alternative_classes_different_interfaces,704,95.74,11.01,8.39,93.26,93.26,29.22,0,,
comments_smell,616,91.56,14.27,5.64,82.43,82.43,45.6,616,28.08,30.67
data_class,704,94.6,14.83,1.6,95.02,95.02,50.11,704,56.11,59.31
data_clumps,792,94.44,7.18,3.53,86.28,86.28,36.69,792,19.95,21.12
dead_code,704,88.07,16.32,6.34,83.25,83.25,41.29,704,15.2,17.26
deep_nesting,792,93.06,17.44,10.5,81.98,81.98,30.78,792,36.24,36.91
duplicated_code,880,95.34,12.66,4.51,80.01,80.01,44.14,880,97.16,98.21
feature_envy,792,94.57,17.28,6.06,84.71,84.71,28.3,792,22.85,24.17
global_state,704,93.04,20.05,14.08,87.74,87.74,53.1,704,65.91,70.84
god_class,880,93.07,8.27,2.69,78.32,78.32,55.51,880,28.18,30.28
inappropriate_intimacy,792,95.33,15.0,0.77,82.07,82.07,42.32,792,7.45,7.81
incomplete_library_class,616,94.16,12.04,5.9,81.25,81.25,43.02,0,,
lazy_class,704,97.44,5.41,2.03,78.56,78.56,26.44,704,45.88,47.08
long_method,880,91.93,9.22,5.68,83.03,83.03,52.74,880,57.61,58.22
long_parameter_list,880,89.55,22.21,7.9,94.55,94.55,31.22,880,98.98,99.75
magic_numbers,792,94.95,21.73,15.25,79.56,79.56,24.79,792,96.46,97.34
message_chains,704,95.03,14.29,5.58,93.06,93.06,17.09,704,41.34,43.5
middle_man,704,96.59,7.19,1.96,96.91,96.91,26.98,704,68.47,70.88
parallel_inheritance,704,95.74,6.49,0.85,93.48,93.48,55.78,704,33.1,34.57
primitive_obsession,792,96.34,25.02,3.97,94.99,94.99,23.04,0,,
refused_bequest,704,96.16,9.26,6.11,90.65,90.65,24.8,704,38.78,40.32
shotgun_surgery,704,87.93,24.7,6.96,87.63,87.63,58.6,0,,
speculative_generality,704,91.34,10.8,5.97,80.13,80.13,48.45,704,6.68,7.31
switch_statements,792,91.92,15.7,8.88,64.63,64.63,40.44,792,51.14,55.63
temporary_field,704,94.18,37.1,4.65,93.67,93.67,27.79,704,24.86,26.4
