model,lang,n_files,syntax_ok_pct,ruff_per_100loc_all,ruff_per_100loc_valid,mi_all,mi_valid,loc_mean,n_covered,induction_all,induction_valid
deepseek-coder-1.3b,en,426,98.59,4.04,4.06,86.76,86.76,37.76,362,49.72,49.44
deepseek-coder-1.3b,es,426,92.25,21.97,4.13,88.47,88.47,30.98,362,40.88,42.77
deepseek-coder-1.3b,fr,426,97.65,22.08,4.43,87.11,87.11,35.73,362,43.65,44.48
deepseek-coder-1.3b,zh,426,98.36,7.34,5.59,88.0,88.0,35.08,362,38.12,38.87
deepseek-coder-6.7b,en,426,98.83,3.33,3.28,88.06,88.06,33.67,362,50.0,50.42
deepseek-coder-6.7b,es,426,91.31,17.98,3.64,88.5,88.5,28.41,362,39.5,43.29
deepseek-coder-6.7b,fr,426,98.83,4.59,3.35,88.59,88.59,33.01,362,45.03,45.53
deepseek-coder-6.7b,zh,426,96.01,7.04,5.65,89.3,89.3,32.61,362,44.48,46.4
granite-3b-code,en,426,94.37,17.77,6.25,83.92,83.92,31.92,362,48.34,49.86
granite-3b-code,es,426,49.3,61.51,7.16,83.66,83.66,38.17,362,30.66,50.56
granite-3b-code,fr,227,88.11,9.29,5.95,82.87,82.87,33.85,209,35.41,36.76
granite-3b-code,zh,426,91.31,43.65,5.29,84.84,84.84,37.54,362,35.64,36.25
granite-8b-code,en,426,90.85,9.51,6.62,86.61,86.61,29.16,362,53.59,56.75
granite-8b-code,es,426,26.76,159.0,5.09,87.0,87.0,35.92,362,32.6,56.7
granite-8b-code,fr,426,80.28,29.19,6.02,86.38,86.38,34.26,362,43.92,45.61
granite-8b-code,zh,426,94.37,8.97,5.71,86.5,86.5,30.5,362,40.33,41.23
qwen2.5-coder-1.5b,en,426,99.3,4.33,4.35,85.46,85.46,35.42,362,52.76,53.06
qwen2.5-coder-1.5b,es,426,99.06,4.42,4.36,86.15,86.15,36.2,362,47.51,48.04
qwen2.5-coder-1.5b,fr,426,97.65,4.7,4.6,85.38,85.38,39.54,362,47.24,47.44
qwen2.5-coder-1.5b,zh,426,99.53,6.26,6.39,87.13,87.13,33.46,362,42.27,42.5
qwen2.5-coder-3b,en,426,98.12,3.89,3.3,83.02,83.02,49.41,362,59.67,60.5
qwen2.5-coder-3b,es,426,94.84,4.07,3.5,82.33,82.33,47.77,362,55.25,57.39
qwen2.5-coder-3b,fr,426,97.65,4.79,3.94,80.82,80.82,51.64,362,52.76,53.11
qwen2.5-coder-3b,zh,426,99.53,3.83,3.91,85.23,85.23,41.42,362,47.51,47.51
qwen2.5-coder-7b,en,426,98.83,4.62,4.04,82.11,82.11,37.92,362,60.5,60.83
qwen2.5-coder-7b,es,426,96.71,7.41,3.89,82.38,82.38,37.18,362,53.59,54.96
qwen2.5-coder-7b,fr,426,99.53,3.78,3.75,80.45,80.45,39.1,362,53.87,54.17
qwen2.5-coder-7b,zh,426,99.53,5.45,5.12,86.71,86.71,29.82,362,45.86,45.98
yi-coder-1.5b,en,426,98.12,4.68,4.71,85.8,85.8,39.08,362,50.0,50.28
yi-coder-1.5b,es,426,97.65,6.56,4.95,85.06,85.06,37.19,362,44.48,45.45
yi-coder-1.5b,fr,426,96.95,6.12,5.13,87.05,87.05,37.06,362,44.2,44.73
yi-coder-1.5b,zh,426,98.12,4.25,3.72,86.09,86.09,38.09,362,46.96,47.32
yi-coder-9b,en,426,99.06,4.08,3.99,87.01,87.01,37.78,362,56.08,56.55
yi-coder-9b,es,426,99.3,4.83,4.75,84.83,84.83,37.69,362,49.17,49.58
yi-coder-9b,fr,426,99.53,3.7,3.68,83.97,83.97,41.74,362,47.51,47.5
yi-coder-9b,zh,426,100.0,3.75,3.75,87.04,87.04,32.8,362,46.69,46.69
