target_smell,n_files,syntax_ok_pct,ruff_per_100loc_all,ruff_per_100loc_valid,mi_all,mi_valid,loc_mean,n_covered,induction_all,induction_valid,base_rate,lift,induction_en,induction_es,induction_fr,induction_zh
Comments (as smell indicator),490,90.61,15.53,3.79,81.73,81.73,42.84,490,25.31,27.93,7.01,20.92,32.52,29.59,33.03,16.67
Data Class,560,93.93,9.7,1.53,94.24,94.24,51.34,560,48.75,51.9,15.51,36.39,47.55,46.22,57.38,56.34
Data Clumps,648,93.83,7.83,3.39,85.79,85.79,36.96,648,20.52,21.88,4.84,17.04,36.88,21.68,18.54,9.74
Dead Code,576,86.81,14.07,2.54,83.04,83.04,38.09,576,11.81,13.6,11.09,2.51,12.5,12.75,14.81,14.07
Deep Nesting,630,92.7,19.9,10.23,81.89,81.89,28.48,630,38.1,38.7,3.49,35.21,53.5,40.3,25.93,33.54
Duplicated Code,720,95.97,14.87,4.65,79.5,79.5,43.26,720,97.78,98.55,55.22,43.33,99.43,97.59,100.0,97.13
Feature Envy,648,93.67,17.86,6.25,84.62,84.62,27.28,648,26.7,28.5,3.77,24.73,40.99,33.85,20.38,19.5
Global State,560,94.64,18.37,8.87,87.39,87.39,46.77,560,67.68,71.51,26.73,44.78,86.33,73.17,74.6,52.82
God Class / Large Class,720,93.47,8.3,2.23,76.91,76.91,54.16,720,28.06,30.01,3.23,26.78,33.9,29.93,31.98,24.29
Inappropriate Intimacy,630,94.6,19.47,0.89,81.83,81.83,40.54,630,8.41,8.89,0.03,8.86,12.5,8.21,6.38,8.07
Lazy Class,576,97.22,6.37,2.0,78.49,78.49,24.85,576,52.6,54.11,19.04,35.07,60.42,50.76,51.77,53.15
Long Method,720,91.94,9.84,5.38,82.13,82.13,51.0,720,57.78,58.16,23.34,34.82,68.24,58.28,55.62,50.58
Long Parameter List,720,88.47,19.55,7.76,94.4,94.4,31.07,720,98.75,99.69,26.41,73.28,100.0,100.0,100.0,98.85
Magic Numbers/Strings,630,94.6,23.08,14.61,81.19,81.19,21.11,630,96.19,96.81,28.72,68.09,97.44,94.29,100.0,95.62
Message Chains,560,93.93,16.54,5.19,93.47,93.47,16.5,560,44.82,47.72,3.1,44.62,54.61,51.24,46.77,38.57
Middle Man,560,95.71,8.29,1.61,97.01,97.01,26.63,560,71.07,74.25,2.97,71.28,78.87,73.98,75.59,68.75
Parallel Inheritance Hierarchies,576,95.14,7.7,0.68,94.85,94.85,54.62,576,37.33,39.23,0.06,39.17,58.74,43.33,31.47,23.94
Refused Bequest,560,96.25,7.3,2.92,90.87,90.87,23.06,560,40.71,42.3,1.21,41.09,45.83,43.55,41.73,38.19
Speculative Generality,576,92.01,11.97,5.14,79.96,79.96,45.5,576,6.94,7.55,7.03,0.52,6.06,8.13,7.46,8.51
Switch Statements,648,90.9,17.67,8.9,65.35,65.35,38.0,648,51.39,56.54,2.14,54.4,52.83,59.69,52.41,61.54
Temporary Field,571,93.87,12.22,1.99,93.12,93.12,26.18,571,28.37,30.22,3.35,26.87,34.72,29.91,33.33,23.08
