category,n_files,syntax_ok_pct,ruff_per_100loc_all,ruff_per_100loc_valid,mi_all,mi_valid,loc_mean,n_covered,induction_all,induction_valid
alternative_classes_different_interfaces,209,94.74,41.26,6.13,96.07,96.07,23.99,0,,
comments_smell,193,92.75,8.98,4.15,82.96,82.96,44.23,193,29.53,31.84
data_class,209,95.69,4.11,1.1,98.87,98.87,58.03,209,55.02,57.5
data_clumps,243,93.83,52.11,3.14,86.41,86.41,34.81,243,28.4,30.26
dead_code,209,85.17,8.2,2.7,81.6,81.6,41.06,209,17.22,20.22
deep_nesting,225,89.33,26.68,13.94,80.38,80.38,28.47,225,48.0,50.25
duplicated_code,245,95.51,10.55,5.46,78.27,78.27,41.85,245,95.92,98.29
feature_envy,243,96.71,12.77,5.93,87.23,87.23,23.49,243,40.33,41.7
global_state,209,89.47,22.25,9.84,87.61,87.61,46.22,209,67.46,75.4
god_class,261,94.64,3.98,2.67,71.55,71.55,59.78,261,32.57,34.41
inappropriate_intimacy,225,93.78,7.28,0.65,81.73,81.73,38.38,225,8.44,9.0
incomplete_library_class,193,90.16,12.64,6.83,78.37,78.37,45.1,0,,
lazy_class,209,98.09,5.88,1.33,78.17,78.17,22.61,209,61.24,62.44
long_method,261,92.34,11.02,7.11,81.04,81.04,53.51,261,59.39,61.83
long_parameter_list,261,95.02,13.66,7.39,95.9,95.9,26.95,261,98.85,99.6
magic_numbers,225,94.22,17.68,14.68,79.74,79.74,22.0,225,92.89,93.4
message_chains,209,94.26,12.7,5.83,93.55,93.55,16.01,209,50.24,53.3
middle_man,209,94.74,4.37,0.55,98.99,98.99,39.15,209,78.47,82.83
parallel_inheritance,209,97.61,3.07,0.74,95.02,95.02,56.85,209,49.76,50.98
primitive_obsession,225,96.44,8.97,3.74,94.94,94.94,22.75,0,,
refused_bequest,209,94.26,38.76,2.3,89.05,89.05,23.94,209,34.45,36.55
shotgun_surgery,209,88.04,25.99,3.01,87.69,87.69,56.08,0,,
speculative_generality,209,88.52,9.56,5.24,80.93,80.93,51.33,209,11.0,12.43
switch_statements,225,94.22,13.18,9.13,59.91,59.91,46.48,225,56.44,59.91
temporary_field,208,92.31,10.78,1.73,94.3,94.3,22.07,208,19.71,21.35
