model,lang,n_files,syntax_ok_pct,ruff_per_100loc_all,ruff_per_100loc_valid,mi_all,mi_valid,loc_mean,n_covered,induction_all,induction_valid
deepseek-coder-1.3b,en,426,98.59,4.57,4.33,88.2,88.2,37.54,362,42.54,42.86
deepseek-coder-1.3b,es,75,61.33,101.5,3.47,89.72,89.72,19.61,63,28.57,42.86
deepseek-coder-1.3b,fr,75,89.33,23.39,4.42,89.26,89.26,32.27,63,28.57,32.14
deepseek-coder-1.3b,zh,75,60.0,84.59,10.76,93.8,93.8,17.48,63,11.11,18.42
deepseek-coder-6.7b,en,426,96.95,10.17,3.95,86.11,86.11,37.2,362,48.9,50.57
deepseek-coder-6.7b,es,75,93.33,7.1,3.09,87.95,87.95,34.93,63,41.27,42.37
deepseek-coder-6.7b,fr,75,94.67,36.85,3.95,85.95,85.95,40.6,63,47.62,50.85
deepseek-coder-6.7b,zh,75,62.67,428.38,6.47,93.45,93.45,14.61,63,15.87,23.68
granite-3b-code,en,426,95.31,16.43,5.58,83.87,83.87,31.98,362,48.34,49.71
granite-3b-code,es,75,48.0,36.74,6.75,78.32,78.32,39.31,63,26.98,50.0
granite-3b-code,fr,74,90.54,8.11,5.73,81.07,81.07,37.16,62,41.94,44.83
granite-3b-code,zh,75,90.67,71.49,4.41,83.26,83.26,41.07,63,33.33,35.09
granite-8b-code,en,426,90.61,11.39,8.63,86.77,86.77,29.02,362,51.93,55.21
granite-8b-code,es,75,22.67,160.39,3.27,84.8,84.8,39.65,63,28.57,46.67
granite-8b-code,fr,75,85.33,17.5,4.96,81.75,81.75,40.53,63,44.44,44.44
granite-8b-code,zh,75,96.0,5.72,5.73,85.33,85.33,35.89,63,46.03,47.54
qwen2.5-coder-1.5b,en,426,98.36,6.35,6.66,86.32,86.32,37.73,362,61.05,61.52
qwen2.5-coder-1.5b,es,75,97.33,2.63,2.86,85.86,85.86,44.16,63,53.97,54.84
qwen2.5-coder-1.5b,fr,75,93.33,3.81,3.77,83.51,83.51,49.99,63,55.56,55.17
qwen2.5-coder-1.5b,zh,75,98.67,6.58,5.44,87.41,87.41,38.49,63,49.21,50.0
qwen2.5-coder-3b,en,426,96.71,4.32,4.31,84.08,84.08,52.69,362,61.33,62.96
qwen2.5-coder-3b,es,75,94.67,4.8,4.09,81.21,81.21,52.19,63,57.14,59.02
qwen2.5-coder-3b,fr,75,94.67,3.53,2.46,81.5,81.5,55.85,63,57.14,60.0
qwen2.5-coder-3b,zh,75,100.0,3.17,3.17,83.64,83.64,40.4,63,44.44,44.44
qwen2.5-coder-7b,en,426,98.83,4.2,4.18,82.7,82.7,37.98,362,59.94,60.28
qwen2.5-coder-7b,es,75,96.0,6.29,3.22,81.88,81.88,36.48,63,60.32,62.3
qwen2.5-coder-7b,fr,75,100.0,3.5,3.5,81.04,81.04,43.76,63,58.73,58.73
qwen2.5-coder-7b,zh,75,100.0,4.94,4.94,84.19,84.19,34.81,63,46.03,46.03
yi-coder-1.5b,en,100,97.0,5.18,5.05,84.44,84.44,41.12,100,63.0,63.92
yi-coder-1.5b,es,75,96.0,4.44,4.06,86.79,86.79,35.41,63,47.62,50.0
yi-coder-1.5b,fr,75,97.33,3.96,4.09,87.73,87.73,37.75,63,44.44,45.9
yi-coder-1.5b,zh,75,96.0,2.97,3.15,88.5,88.5,43.04,63,44.44,45.0
yi-coder-9b,en,426,99.3,4.21,4.2,87.9,87.9,37.35,362,53.87,54.32
yi-coder-9b,es,75,98.67,4.36,4.15,83.17,83.17,39.43,63,52.38,53.23
yi-coder-9b,fr,75,100.0,2.86,2.86,84.7,84.7,43.83,63,52.38,52.38
yi-coder-9b,zh,75,100.0,4.24,4.24,85.43,85.43,36.44,63,52.38,52.38
