target_smell,n_files,syntax_ok_pct,ruff_per_100loc_all,ruff_per_100loc_valid,mi_all,mi_valid,loc_mean,n_covered,induction_all,induction_valid,base_rate,lift,induction_en,induction_es,induction_fr,induction_zh
Comments (as smell indicator),193,92.75,8.98,4.15,82.96,82.96,44.23,193,29.53,31.84,6.7,25.14,32.43,25.0,48.0,17.39
Data Class,209,95.69,4.11,1.1,98.87,98.87,58.03,209,55.02,57.5,16.4,41.1,49.61,76.19,76.92,61.54
Data Clumps,243,93.83,52.11,3.14,86.41,86.41,34.81,243,28.4,30.26,5.04,25.22,36.02,23.81,19.23,5.0
Dead Code,209,85.17,8.2,2.7,81.6,81.6,41.06,209,17.22,20.22,12.17,8.05,22.12,21.05,17.39,13.04
Deep Nesting,225,89.33,26.68,13.94,80.38,80.38,28.47,225,48.0,50.25,3.51,46.74,55.47,50.0,27.27,40.91
Duplicated Code,245,95.51,10.55,5.46,78.27,78.27,41.85,245,95.92,98.29,56.67,41.62,99.38,100.0,100.0,88.0
Feature Envy,243,96.71,12.77,5.93,87.23,87.23,23.49,243,40.33,41.7,3.59,38.11,51.55,22.73,30.77,7.69
Global State,209,89.47,22.25,9.84,87.61,87.61,46.22,209,67.46,75.4,21.04,54.36,82.2,71.43,72.0,47.83
God Class / Large Class,261,94.64,3.98,2.67,71.55,71.55,59.78,261,32.57,34.41,4.33,30.08,39.08,29.17,25.0,16.0
Inappropriate Intimacy,225,93.78,7.28,0.65,81.73,81.73,38.38,225,8.44,9.0,0.0,9.0,11.43,0.0,7.69,4.17
Lazy Class,209,98.09,5.88,1.33,78.17,78.17,22.61,209,61.24,62.44,20.23,42.21,60.94,70.83,62.96,61.54
Long Method,261,92.34,11.02,7.11,81.04,81.04,53.51,261,59.39,61.83,21.11,40.72,62.35,66.67,61.54,54.17
Long Parameter List,261,95.02,13.66,7.39,95.9,95.9,26.95,261,98.85,99.6,28.36,71.24,100.0,100.0,100.0,96.3
Magic Numbers/Strings,225,94.22,17.68,14.68,79.74,79.74,22.0,225,92.89,93.4,25.34,68.06,95.65,86.96,96.3,83.33
Message Chains,209,94.26,12.7,5.83,93.55,93.55,16.01,209,50.24,53.3,2.92,50.38,51.61,75.0,55.56,36.36
Middle Man,209,94.74,4.37,0.55,98.99,98.99,39.15,209,78.47,82.83,2.82,80.01,83.46,77.27,80.77,86.96
Parallel Inheritance Hierarchies,209,97.61,3.07,0.74,95.02,95.02,56.85,209,49.76,50.98,0.1,50.88,57.81,47.83,33.33,38.46
Refused Bequest,209,94.26,38.76,2.3,89.05,89.05,23.94,209,34.45,36.55,1.57,34.98,41.6,26.09,25.93,31.82
Speculative Generality,209,88.52,9.56,5.24,80.93,80.93,51.33,209,11.0,12.43,6.15,6.28,6.19,28.57,23.08,16.0
Switch Statements,225,94.22,13.18,9.13,59.91,59.91,46.48,225,56.44,59.91,2.12,57.79,57.34,78.95,66.67,53.85
Temporary Field,208,92.31,10.78,1.73,94.3,94.3,22.07,208,19.71,21.35,3.4,17.95,27.78,10.53,8.33,8.7
