prompt_id,category,level,domain,target_smells,syntax_ok,loc,cc_max,mi,ruff_total,undefined_name,unused_var,n_smells,smells_found,target_covered,target_hit,model,lang
alternative_classes_different_interfaces_advanced_001,alternative_classes_different_interfaces,advanced,Finance,Alternative Classes with Different Interfaces,1,14,2,100.0,0,0,0,7,Duplicated Code;Lazy Class;Long Parameter List,0,,codellama-7b,en
alternative_classes_different_interfaces_advanced_002,alternative_classes_different_interfaces,advanced,Healthcare,Alternative Classes with Different Interfaces,1,26,2,100.0,1,1,0,12,Comments (as smell indicator);Duplicated Code;Global State;Lazy Class,0,,codellama-7b,en
alternative_classes_different_interfaces_advanced_003,alternative_classes_different_interfaces,advanced,Scientific Computing,Alternative Classes with Different Interfaces,1,14,2,100.0,0,0,0,5,Duplicated Code;Lazy Class,0,,codellama-7b,en
alternative_classes_different_interfaces_advanced_004,alternative_classes_different_interfaces,advanced,General Software,Alternative Classes with Different Interfaces,1,45,2,100.0,12,11,0,37,Duplicated Code;Feature Envy;Global State;Magic Numbers/Strings;Message Chains,0,,codellama-7b,en
alternative_classes_different_interfaces_advanced_005,alternative_classes_different_interfaces,advanced,E-commerce,Alternative Classes with Different Interfaces,1,39,2,100.0,4,4,0,8,Duplicated Code;Global State;Long Parameter List;Magic Numbers/Strings,0,,codellama-7b,en
alternative_classes_different_interfaces_basic_001,alternative_classes_different_interfaces,basic,E-commerce,Alternative Classes with Different Interfaces,1,19,2,100.0,2,0,0,7,Duplicated Code;Global State;Lazy Class,0,,codellama-7b,en
alternative_classes_different_interfaces_basic_002,alternative_classes_different_interfaces,basic,Finance,Alternative Classes with Different Interfaces,0,9,0,,3,0,0,1,Duplicated Code,0,,codellama-7b,en
alternative_classes_different_interfaces_basic_003,alternative_classes_different_interfaces,basic,Healthcare,Alternative Classes with Different Interfaces,1,47,2,100.0,0,0,0,10,Data Clumps;Duplicated Code;Global State;Long Parameter List,0,,codellama-7b,en
alternative_classes_different_interfaces_basic_004,alternative_classes_different_interfaces,basic,Scientific Computing,Alternative Classes with Different Interfaces,1,30,2,91.43,1,0,0,3,Dead Code;Global State,0,,codellama-7b,en
alternative_classes_different_interfaces_basic_005,alternative_classes_different_interfaces,basic,General Software,Alternative Classes with Different Interfaces,1,27,2,100.0,2,0,0,7,Data Class;Duplicated Code;Global State,0,,codellama-7b,en
alternative_classes_different_interfaces_basic_006,alternative_classes_different_interfaces,basic,E-commerce,Alternative Classes with Different Interfaces,1,19,2,100.0,2,0,0,7,Duplicated Code;Global State;Lazy Class,0,,codellama-7b,en
alternative_classes_different_interfaces_intermediate_001,alternative_classes_different_interfaces,intermediate,Finance,Alternative Classes with Different Interfaces,1,36,2,100.0,0,0,0,9,Duplicated Code;Global State;Magic Numbers/Strings,0,,codellama-7b,en
alternative_classes_different_interfaces_intermediate_002,alternative_classes_different_interfaces,intermediate,Healthcare,Alternative Classes with Different Interfaces,1,26,2,100.0,0,0,0,5,Duplicated Code;Message Chains,0,,codellama-7b,en
alternative_classes_different_interfaces_intermediate_003,alternative_classes_different_interfaces,intermediate,Scientific Computing,Alternative Classes with Different Interfaces,1,25,2,100.0,3,0,0,11,Duplicated Code;Feature Envy;Global State;Lazy Class,0,,codellama-7b,en
alternative_classes_different_interfaces_intermediate_004,alternative_classes_different_interfaces,intermediate,General Software,Alternative Classes with Different Interfaces,1,14,2,100.0,0,0,0,5,Duplicated Code;Lazy Class,0,,codellama-7b,en
alternative_classes_different_interfaces_intermediate_005,alternative_classes_different_interfaces,intermediate,E-commerce,Alternative Classes with Different Interfaces,0,162,0,,1,0,0,0,,0,,codellama-7b,en
comments_smell_advanced_001,comments_smell,advanced,E-commerce,Comments (as smell indicator),1,161,0,100.0,1,0,0,1,Comments (as smell indicator),1,1,codellama-7b,en
comments_smell_advanced_002,comments_smell,advanced,Finance,Comments (as smell indicator),0,205,0,,4,0,0,1,Long Method,1,0,codellama-7b,en
comments_smell_advanced_003,comments_smell,advanced,Healthcare,Comments (as smell indicator),0,113,0,,1,0,0,26,Long Method;Long Parameter List;Magic Numbers/Strings,1,0,codellama-7b,en
comments_smell_advanced_004,comments_smell,advanced,Scientific Computing,Comments (as smell indicator),0,65,0,,3,0,0,2,Magic Numbers/Strings,1,0,codellama-7b,en
comments_smell_basic_001,comments_smell,basic,E-commerce,Comments (as smell indicator),1,15,3,99.39,0,0,0,0,,1,0,codellama-7b,en
comments_smell_basic_002,comments_smell,basic,Finance,Comments (as smell indicator),1,61,2,54.85,0,0,0,9,Duplicated Code,1,0,codellama-7b,en
comments_smell_basic_003,comments_smell,basic,Healthcare,Comments (as smell indicator),1,17,1,100.0,1,1,0,2,Comments (as smell indicator),1,1,codellama-7b,en
comments_smell_basic_004,comments_smell,basic,Scientific Computing,Comments (as smell indicator),1,4,1,100.0,0,0,0,0,,1,0,codellama-7b,en
comments_smell_basic_005,comments_smell,basic,General Software,Comments (as smell indicator),1,66,1,36.41,1,0,0,6,Duplicated Code,1,0,codellama-7b,en
comments_smell_intermediate_001,comments_smell,intermediate,E-commerce,Comments (as smell indicator),1,92,4,76.99,2,0,0,11,Comments (as smell indicator);Dead Code;Duplicated Code;Global State;Magic Numbers/Strings,1,1,codellama-7b,en
comments_smell_intermediate_002,comments_smell,intermediate,Finance,Comments (as smell indicator),0,203,0,,2,0,0,38,Duplicated Code;Long Method;Magic Numbers/Strings,1,0,codellama-7b,en
comments_smell_intermediate_003,comments_smell,intermediate,Healthcare,Comments (as smell indicator),0,30,0,,241,0,0,0,,1,0,codellama-7b,en
comments_smell_intermediate_004,comments_smell,intermediate,Scientific Computing,Comments (as smell indicator),1,177,3,61.35,2,1,0,23,Comments (as smell indicator);Duplicated Code;Long Method;Magic Numbers/Strings;Message Chains,1,1,codellama-7b,en
comments_smell_intermediate_005,comments_smell,intermediate,General Software,Comments (as smell indicator),0,140,0,,1,0,0,1,Long Method,1,0,codellama-7b,en
data_class_advanced_001,data_class,advanced,Finance,Data Class,1,78,2,100.0,1,0,0,87,Data Class;Duplicated Code;God Class / Large Class;Long Parameter List,1,1,codellama-7b,en
data_class_advanced_002,data_class,advanced,Healthcare,Data Class,1,42,2,100.0,1,0,0,54,Data Class;Duplicated Code;God Class / Large Class;Long Parameter List,1,1,codellama-7b,en
data_class_advanced_003,data_class,advanced,Scientific Computing,Data Class,1,34,2,100.0,1,0,0,33,Data Class;Duplicated Code;Long Parameter List,1,1,codellama-7b,en
data_class_advanced_004,data_class,advanced,General Software,Data Class,1,79,2,100.0,1,0,0,120,Data Class;Duplicated Code;God Class / Large Class;Long Parameter List,1,1,codellama-7b,en
data_class_advanced_005,data_class,advanced,E-commerce,Data Class,1,38,2,100.0,1,0,0,38,Data Class;Duplicated Code;Long Parameter List,1,1,codellama-7b,en
