plang,model,n_files,syntax_ok_pct,loc_mean,loc_mean_valid,n_decidable,induction_all,induction_valid
python,codellama-7b,426,95.77,41.18,36.98,114,78.07,78.9
python,deepseek-coder-1.3b,426,99.06,30.23,30.43,114,67.54,66.36
python,deepseek-coder-6.7b,426,99.53,27.32,27.36,114,65.79,66.37
python,deepseek-coder-v2-lite,426,99.53,44.73,44.46,114,69.3,69.3
python,granite-3b-code,426,95.54,26.82,25.79,114,60.53,60.55
python,granite-8b-code,426,95.07,26.35,25.02,114,73.68,74.07
python,qwen2.5-coder-1.5b,426,99.77,29.35,28.98,114,67.54,68.14
python,qwen2.5-coder-3b,426,98.12,40.92,39.76,114,74.56,74.34
python,qwen2.5-coder-7b,426,99.3,31.22,31.05,114,65.79,65.79
python,starcoder2-3b,426,95.54,39.0,35.47,114,65.79,67.57
python,starcoder2-7b,426,97.65,39.27,37.83,114,72.81,71.3
python,yi-coder-1.5b,426,98.36,31.94,31.4,114,62.28,62.5
python,yi-coder-9b,426,99.3,30.43,30.48,114,65.79,65.79
java,deepseek-coder-6.7b,426,99.53,36.93,36.89,114,64.04,64.6
java,granite-8b-code,426,93.66,34.83,32.33,114,64.91,65.69
java,qwen2.5-coder-7b,426,99.53,53.55,53.09,114,71.05,70.8
java,starcoder2-7b,426,91.78,49.43,47.62,114,57.89,62.5
java,yi-coder-9b,426,99.3,43.78,43.76,114,66.67,66.67
cpp,deepseek-coder-6.7b,426,97.65,36.59,36.61,114,58.77,57.8
cpp,granite-8b-code,426,42.72,198.12,33.3,114,29.82,56.67
cpp,qwen2.5-coder-7b,426,99.06,52.25,52.14,114,62.28,62.28
cpp,starcoder2-7b,426,93.9,49.42,49.7,114,56.14,60.58
cpp,yi-coder-9b,426,99.77,48.05,48.04,114,57.89,57.89
c,deepseek-coder-6.7b,292,96.92,37.76,37.73,94,60.64,63.33
c,granite-8b-code,292,43.15,254.59,32.29,94,30.85,70.97
c,qwen2.5-coder-7b,292,98.97,52.39,52.39,94,68.09,68.82
c,starcoder2-7b,292,92.12,41.98,41.6,94,63.83,72.29
c,yi-coder-9b,292,98.97,48.22,48.13,94,65.96,66.67
